date,title,amount
2025-02-18,Renegociação de pendências (18/Fevereiro),-259.11
2025-02-18,IOF de atraso,4.12
2025-02-18,Encerramento de dívida,-87.32
2025-02-18,Multa de atraso,12.82
2025-02-18,Pg *Tm Aldeias Infa,50.00
2025-02-18,Juros de atraso,70.37
2025-02-17,Google Muscle Monster,81.99
2025-02-16,Google Linkedin Jobs,89.99
2025-02-16,Google Cloud W4wgwz,40.00
2025-02-16,Stackblitz,119.15
2025-02-16,"IOF de ""Stackblitz""",4.02
2025-02-16,Google One,1.99
2025-02-15,Tesouro Nacional,9.31
2025-02-15,Encerramento de dívida,-12.81
2025-02-15,Tesouro Nacional,0.24
2025-02-15,Juros de dívida encerrada,12.81
2025-02-15,Tesouro Nacional,3.26
2025-02-15,CHESSFLIX TREINAMENTOS ONLINE LTDA,8.98
2025-02-15,CHESSFLIX TREINAMENTOS ONLINE LTDA,0.25
2025-02-15,Encerramento de dívida,-12.38
2025-02-15,Juros de dívida encerrada,12.38
2025-02-15,CHESSFLIX TREINAMENTOS ONLINE LTDA,3.14
2025-02-15,Pagamento recebido,-700.00
2025-01-27,Crédito de atraso,-638.83
2025-01-27,Saldo em atraso,638.83
2025-01-26,Renegociação de pendências (18/Fevereiro),188.15
2025-01-19,Glx *Comunidade Ds - Parcela 5/10,199.70
2025-01-19,Ebn *Canva - Parcela 7/12,24.16
